
MCP Servers (20 enabled)

NAME                        OAUTH          SECRETS        CONFIG         DESCRIPTION                                  
----------------------------------------------------------------------------------------------------------------------
desktop-commander           -              -              ▲ required     Search, update, manage files and run termi...
docker                      -              -              -              Use the Docker CLI.                          
dockerhub                   -              ✓ done         ✓ done         Docker Hub official MCP server.              
duckduckgo                  -              -              -              A Model Context Protocol (MCP) server that...
fetch                       -              -              -              Fetches a URL from the internet and extrac...
filesystem                  -              -              ✓ done         Local filesystem access with configurable ...
google-maps                 -              ▲ required     -              Tools for interacting with the Google Maps...
grafana                     -              ✓ done         ✓ done         MCP server for Grafana.                      
hugging-face                -              -              -              Tools for interacting with Hugging Face mo...
mcp-api-gateway             -              -              ◐ partial      A universal MCP (Model Context Protocol) s...
memory                      -              -              -              Knowledge graph-based persistent memory sy...
neo4j-cypher                -              ▲ required     ▲ required     Interact with Neo4j using Cypher graph que...
neo4j-data-modeling         -              -              ▲ required     MCP server that assists in creating, valid...
openbnb-airbnb              -              -              -              MCP Server for searching Airbnb and get li...
postgres                    -              ✓ done         -              Connect with read-only access to PostgreSQ...
postman                     -              ▲ required     -              Postman's MCP server connects AI agents, a...
prometheus                  -              -              ✓ done         A Model Context Protocol (MCP) server that...
sequentialthinking          -              -              -              Dynamic and reflective problem-solving thr...
slack                       -              ▲ required     ▲ required     Interact with Slack Workspaces over the Sl...
time                        -              -              -              Time and timezone conversion capabilities.   

Tip: To use these servers, connect to a client (IE: claude/cursor) with docker mcp client connect <client-name>

